Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
eliminate	305	257	267	233	5.98	2.4857	3.06	2.4116	4.0
Memorial	360	257	167	120	7.06	2.5575	3.06	2.4116	4.0
negotiate	342	256	332	252	6.71	2.5353	3.05	2.4099	4.0
conversations	285	254	275	247	5.59	2.4564	3.03	2.4065	4.0
developing	286	254	281	249	5.61	2.4579	3.03	2.4065	4.0
January	341	254	5	3	6.69	2.534	3.03	2.4065	4.0
disappointment	277	253	264	242	5.43	2.444	3.02	2.4048	4.0
variety	294	253	237	215	5.76	2.4698	3.02	2.4048	4.0
misunderstood	283	250	278	246	5.55	2.4533	2.98	2.3997	4.0
remembering	295	250	273	235	5.78	2.4713	2.98	2.3997	4.0
transportation	283	248	244	222	5.55	2.4533	2.96	2.3962	4.0
hilarious	295	247	261	220	5.78	2.4713	2.94	2.3945	4.0
interrupted	267	247	259	241	5.24	2.4281	2.94	2.3945	4.0
alcoholic	316	246	302	238	6.2	2.5011	2.93	2.3927	4.0
literature	326	246	287	222	6.39	2.5145	2.93	2.3927	4.0
acceptable	269	243	256	235	5.27	2.4314	2.9	2.3874	4.0
electronic	350	243	294	216	6.86	2.5453	2.9	2.3874	4.0
motorcycle	455	243	410	231	8.92	2.659	2.9	2.3874	4.0
motherfuckers	615	241	569	229	12.06	2.7896	2.87	2.3838	4.0
recommended	272	241	265	236	5.33	2.4362	2.87	2.3838	4.0
registration	333	241	293	217	6.53	2.5237	2.87	2.3838	4.0
regulations	325	241	300	227	6.37	2.5132	2.87	2.3838	4.0
spectacular	289	241	262	223	5.67	2.4624	2.87	2.3838	4.0
ultimately	288	241	234	199	5.65	2.4609	2.87	2.3838	4.0
supervisor	304	240	266	222	5.96	2.4843	2.86	2.382	4.0
destination	300	239	257	217	5.88	2.4786	2.85	2.3802	4.0
Nevertheless	301	236	107	75	5.9	2.48	2.81	2.3747	4.0
advertising	379	235	347	219	7.43	2.5798	2.8	2.3729	4.0
respectable	288	235	270	226	5.65	2.4609	2.8	2.3729	4.0
supposedly	262	235	185	172	5.14	2.42	2.8	2.3729	4.0
reconsider	256	234	251	230	5.02	2.4099	2.79	2.3711	4.0
educated	282	232	261	220	5.53	2.4518	2.77	2.3674	4.0
definition	296	230	291	228	5.8	2.4728	2.74	2.3636	4.0
